Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Generator Rental Sales Engineer,$50K-$55K(Employer est.),"H.O. Penn Machinery, the Caterpillar dealer for Metro NY and all of the state of Connecticut, is currently hiring a Rental Sales Engineer for their Power Systems department to service the NYC area!

Reporting to the Rental Manager for Power Systems, this position is responsible for the following tasks:
Successfully rent H.O. Penn Power Systems Rental Products and related equipment and services:
Produce targeted rental fleet sales volume, gross profit, and utilization
Directly rent/sell to End Users, Contractors, and Re-Rent Accounts
Influence End Users, Consultants, and Architects to specify/apply the use of H.O. Penn Power Systems Rental Products and related equipment and services
Provide reports on sales activity and coverage
Engage in promotional and marketing efforts that result in growth for H.O. Penn Power Systems Rental Products and related equipment and services:
Seek new applications for existing products
Seek new products for existing and new markets
Develop and employ market information related to new and existing customers
Seek and coordinate customer opportunities for all H.O. Penn products and services (Parts, Service, New and Used Equipment)
Develop and maintain an approved re-rent network to provide additional rental opportunities
Coordinate between customers associated with H.O. Penn support departments and Power Systems Management to ensure successful rentals:
Submit complete rental worksheets and all required paperwork in a timely fashion
Coordinate with Rental Manager to ensure timely and satisfactory response to customer inquiries
Assist the Credit Department with collecting all past-due invoices and follow up on collection of money retained until successful project completion
Maintain ongoing communication throughout the rental transaction with the Rental Coordinator and the Rental Manager in regard to credit issues, equipment availability, delivery schedules, repairs, invoicing, and overall rental coordination

Must have industrial/construction industry experience working with general contractors, electrical contractors, and/or mechanical contractors
PC Proficient (including high proficiency utilizing Microsoft Office and other software)
Proficiency with CRMs to track all sales contacts, meetings, opportunities, proposals, and orders
5-7 years of previous direct business-to-business sales experience, preferably in industrial-type market
Experience working with temporary power (generators) is preferred
Experience in role or equivalent related education-and-experience combination
Excellent communication skills (both written and oral)
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, creed, color, religion, sex, age, national origin, disability status, marital status, sexual orientation, citizenship status, protected veteran status, or any other characteristic protected by law.",4.8,"H.O. Penn Machinery Company
4.8","Medford, NY","Poughkeepsie, NY",201 to 500 employees,1923,Company - Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million (USD),"JESCO, Komatsu Equipment Company, Cummins"
Electrical Maintenance Engineer,$68K-$77K (Glassdoor est.),"AK Steel has an immediate opportunity for an Electrical Maintenance Engineer at our Middletown facility. The Electrical Maintenance Engineer will maintain the drive and control systems. This will include troubleshooting and project work.

Primary Responsibilities:
Maintain the drive and control systems for the area assigned. Develop and maintain system preventative/predictive maintenance schedules.
Lead and assist in system troubleshooting and repairs. Work with maintenance staff to determine the root cause of all electrical failures and develop/implement solutions to stop recurrence.
Provide troubleshooting support to electrical technicians after normal working hours when needed.
Develop understanding of existing PLC programs on all equipment. Program and implement PLC modifications as corrective actions to prevent recurrence of issues.
Maintain and improve electrical documentation.
Develop long and short term plans for equipment improvements.
Assist in planning equipment outages and upgrades. Assist maintenance service provider and contractors during these plans.
Work with contractors and vendors to implement large projects. Develop cost, benefits, plans for installation, and training needs.
Other duties as assigned.
Qualifications:
Bachelors degree in Electrical Engineering or Electrical Engineering Technology degree is required.
At least 3 years experience with control systems and PLCs.
Experience with all types of drive systems including tuning and troubleshooting AC VFD and SCR controls.
PLC design, programming, installation, and troubleshooting experience. Rockwell Contrologix or Siemens PLC Series 5/7 is a plus.
HMI programming and maintenance experience. Experience with Intellution is preferred.
Field service, troubleshooting, and continuous improvement project experience.
Must be able to work in a 24/7 environment.
Why Apply?
Excellent compensation and benefits.
Challenging work.
Advancement opportunities.
We are an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity, genetic information, disability, military or protected veteran status. The following links provide information regarding your Equal Employment Opportunity rights and protections: EEO is the Law & EEO is the Law Supplement. We are a drug-free workplace and conduct pre-employment testing as a condition of employment.",3.2,"AK Steel
3.2","Middletown, OH","West Chester, OH",5001 to 10000 employees,1989,Company - Public,Metal & Mineral Manufacturing,Manufacturing,$5 to $10 billion (USD),"United States Steel, Nucor, ArcelorMittal USA"
Electrical Motor Design Engineer,$78K-$92K (Glassdoor est.),"Electrical Motor Design Engineer

Job Details
Level
Experienced
Job Location
Thomaston, CT - Thomaston, CT
Position Type
Full Time
Education Level
4 Year Degree
Job Shift
Day
Job Category
Manufacturing
Job Description
Purpose:

To provide technical support and product design for the development of AC & DC rotating equipment ensuring the company’s leadership position in the market

The employee will be responsible for:
Development of electrical simulations that show a path of compliance toward meeting customer performance requirements.
Presentation of engineering calculations for proof of concept.
Review of existing products to determine if a customer solution already exists within the business.
Providing production data and technical support for the quoting and build of rotating machines.
Leading within a cross-functional environment to define the needs and develop solutions to meet customer requirements within the boundaries of the project.
Test oversight to ensure that performance is met as defined by the project.
Report writing as necessary for root cause failure analysis.
Providing guidance in prototype testing of concept ideas.
Entering manufacturing and design data as necessary for production build within existing ERP system.
The ideal employee will have, but not limited to, the following developed skills:
The ability to perform basic through advanced Electrical and Electromagnetic Engineering calculations to solve complex problems involving influences from the electrical, mechanical and thermal engineering disciplines.
Basic understanding of thermal and fluid dynamics to aid in temperature control of the product.
Basic Mechanical Engineering understanding to assess strengths and weaknesses of existing and new products.
Basic Rotor dynamics understanding for the determination of limits of rotating components such as shafts and bearings, including natural frequency and deflection at speed and temperature.
Knowledge of material sciences to confirm strengths and weaknesses of parts.
Equivalent circuit methodologies.
Analytical motor performance calculators, preferably RMxprt.
3D CAD Simulation – FEA and/or FVM analysis with ANSYS, Maxwell.
3D CAD modelling, preferably SolidWorks.
2D CAD detailing, preferably SolidWorks.
Knowledge and application of FMEA and DFMEA methods.
Knowledge of ASME Y14.5 application of dimensions and geometric tolerancing.
Understanding of Enterprise Data Management system processes, preferably SolidWorks EPDM.
MRP/ERP data entry.
Job Qualifications
Accountability

Reports to Design Engineering Department Head

Ensures all work is done in accordance with Customer specifications and Company Policy

Keeps supervisor aware of all progress and problems.

Physical Requirements

Job requires sitting at a desk doing normal office work, including phone communications and using a computer. Also involves standing and walking in an office and a manufacturing facility. May be required to assist in production and testing of new products or product improvements.

Environmental / Safety / Time Allocation
Spends approximately 70% of time working at a desk in a normal office environment.
Spends about 30% of time on work away from desk, including going out into shop and discussing manufacturing issues with Manufacturing Department personnel. Must wear eye protection and any other required personal protective equipment while on the shop floor.
Training / Cross Training / Progression
Project leadership position within the Design Engineering group.
Thermal and Fluid Dynamics.
Certified SolidWorks Professional.
Lean manufacturing, Green Belt.
Education / Experience
BSEE with a minimum of 5 to 7 years’ experience in product design and providing technical guidance, instruction and sales support in rotating machinery disciplines.
Demonstrated knowledge of motors, generators and switchgear operation, construction and testing.
Demonstrated experience with Variable Frequency Drives and motor control panels.
Ability to work independently with a high level of accuracy and attention to detail
Proficient knowledge and use of MS Office Suite
Experience in a LEAN environment a plus
Good oral and written communication skills are essential
Must possess the ability to build peer relationships as well as work independently
Must be action oriented, ethical in value, and have a strong customer focus
Travel

Some travel may be required,



All Positions at WARD LEONARD require access to information or technology that is subject to the International Traffic in Arms Regulations (ITAR) and other US government security regulations. These laws do not permit access rights to non-US Citizens or to other unauthorized individuals. Therefore, presently all applicants must be US Citizens in order to comply with ITAR requirements for access rights to be considered for a position.",3.9,"Ward Leonard Electric Company
3.9","Thomaston, CT","Thomaston, CT",201 to 500 employees,1892,Company - Private,Industrial Manufacturing,Manufacturing,$50 to $100 million (USD),-1
Vehicle suspension system engineer or technician,Employer Provided Salary:$45K-$65K,"Recruitment

GRD Auto Parts Inc is a professional wheel hub assembly supplier of large Auto parts chain supermarkets, the company is located in Norcross GA, between I-85 exit 99 and Buford Highway, because of the need of business explore, we must recruit a technical support engineer or a technician, the salary is higher than the industry average level. Please send the resume to earni.grdautoparts@yahoo.com， we will reply applicants as per their resume.

The main recruitment requirements are:

1) Technical support engineer or technician with rich experience, both full-time or part-time are acceptable.

2) Be familiar with the coordination and application of hub units and peripheral parts.

3) Have the resources to obtain OE accessories, vehicle use, electronic catalog, and other information, familiar with ACES, PIES and other information is preferred.

4) American citizenship or Green card. Bilingual is preferred.

5) ASE certificated is preferred.

Day-to-day work and responsibilities:

1) Respond to the quality or technical questions raised by customers, collect relevant materials and evidence, and help the factory to deal with the problems together.

2) Help the factory to understand the vehicle application environment, the actual installation environment , verify the product size, performance, and other requirements, cooperate with the factory to search for relevant information.

3) Briefly analyze and deal with the failure samples returned by the customer as well as provide report.

4) Occasionally go on business trips to customers, collect customer feedback on quality problems, and provide on-site guidance according to factory requirements.",-1,GRD Auto Parts Inc,"Norcross, GA","Norcross, GA",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable,-1
"Sr. Electrical Engineer, Substation",$80K-$101K (Glassdoor est.),"Ampirical is an electrical transmission and distribution engineering company that provides comprehensive customer support, from project conception to design engineering, project management, and construction.

The Substation Engineer will work within a multi-discipline team to develop efficient and reliable design of electrical systems and components for Substation Facilities in accordance with applicable industry codes and standards. This Engineer will be accountable for ensuring adherence to Ampirical's QA/QC guidelines and reviews the work of peers and Junior Engineers/Sub-Contractors. This position requires the individual to provide leadership, mentorship, and/or guidance to less experienced engineers within the department.

RESPONSIBILITIES:
Deliver accurate designs of high voltage electrical substation components that meet industry and client standards and applicable codes.
Perform quality reviews of electrical engineering work for both peers/sub-contractors on assigned projects.
Act as lead Engineer and Engineer of Record for projects.
Design substation systems and components to include general arrangement, equipment, and electrical layout, grounding, bills of material, etc.
Prepare construction drawing packages.
Manage/development of project proposals, bid preparation, project schedules, etc. for assigned Substation projects.
Travel to client sites/field as necessary.
QUALIFICATIONS:
Bachelor's degree in Electrical Engineering from an ABET-accredited program.
Minimum of 8 years of experience in the engineering/design of electrical systems within the Utilities or Energy Industries.
Experience with ETAP, WinIGS, IEEE 88/998.
Active PE or the ability to acquire a PE within one year of employment is highly preferred.
COMPENSATION AND BENEFITS:

Ampirical offers an excellent benefits package including medical, dental, vision; STD, LTD, 401K; life insurance, gym stipend, tuition reimbursement, 10 paid holidays; two weeks' vacation; flexible work schedule (to possibly include every other Friday off) and more. Great opportunity for advancement; outstanding opportunity for career growth.

Interested in Engineering Power-ful Solutions? Take a look at the link below to see why working at Ampirical is much more than a job...

https://youtu.be/ilneslhRWWY",4.4,"Ampirical
4.4","Mandeville, LA","Mandeville, LA",51 to 200 employees,2006,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),"Dashiell, Burns & McDonnell, Black & Veatch"
Electrical Engineer - Test (Experienced),-1,":

We are seeking a R&D S&E, Electronics Engineering

We are seeking an R&D Electronics Engineer to join a multidisciplinary team in designing and developing advanced electronic subsystems. General responsibilities for electrical engineers range from conceptual design, detailed design (a combination of analog, digital, embedded firmware, schematic capture, board layout), analysis, overseeing fabrication of hardware, defining and executing qualification/testing plans, field support, as well as project management. Successful candidates will work in a team environment with opportunities to acquire increasing levels of responsibility.

An Integration Test Engineer at Sandia:
Works as part of a multi-disciplinary team whose task will be to define requirements, create the subsystem design, implement quality design methodology, build and evaluate prototypes, test subsystems, and support full-up system integration testing
Leads and performs interface testing with components from other organizations
Coordinates testing logistics with assets coming from multiple sites
Develops test plans, document test results, and give technical presentations to peers/managers
Executes interface tests
Performs hands-on test and debug of circuitry
Develops a system-level understanding of the collected data and support for anomaly resolution
Coordinates the activities of several subcomponent teams, including writing requirements documents and providing technical oversight regarding the ability of the subcomponent design to meet next level of assembly needs
Other responsibilites include:
Working with representatives from systems organizations, subcomponent organizations, quality assurance, program management, and production
Ability to create innovative solutions to difficult technical problems
Ability to work collaborative teaming environment
Working cooperatively with other internal organizations, as well as external production facilities and suppliers
Required:
Masters degree in Electrical Engineering, Mechanical Engineering or related field of study, with at least five years of related experience or Bachelors degree in a Electrical Engineering, Mechanical Engineering or related field of study, with at least nine years related experience
Excellent written and verbal communication skills
Ability to obtain and maintain a DOE Q clearance
Ability to travel
Desired:
Current DOE Q or DoD Top Secret clearance
Experience in testing complex subassemblies
Experience writing technical requirements
Hands-on experience testing and debugging circuitry, with clear mastery of tools such as oscilloscopes, logic/network/ spectrum analyzers, function/pulse generators, etc.
Experience in low-power analog or digital circuit design and/or firmware design
Experience in FPGA design or low-power electronics design
Experience working with SPICE and/or MATLAB simulation of electronic circuits
Strong communication skills (especially technical writing skills), interpersonal skills, and the ability to influence others
Ability to juggle competing priorities and deadlines
Department Description:

The Weapon Subsystems 1 department develops and supports advanced electronic and mechanical weapon subsystems for high consequence applications requiring exceptionally high confidence, quality and reliability. These projects enhance the safety and security of assets that are critical to U.S. national security, including the nation's nuclear weapons stockpile.

About Sandia:

Sandia National Laboratories is the nations premier science and engineering lab for national security and technology innovation, with teams of specialists focused on cutting-edge work in a broad array of areas. Some of the main reasons we love our jobs:
Challenging work withamazingimpact that contributes to security, peace, and freedom worldwide
Extraordinary co-workers
Some of the best tools, equipment, and research facilities in the world
Career advancement and enrichment opportunities
Flexible schedules, generous vacations,strongmedical and other benefits, competitive 401k, learning opportunities, relocation assistance and amenities aimed at creating a solid work/life balance\
World-changing technologies. Life-changing careers._ Learn more about Sandia at: http://www.sandia.gov

*These benefits vary by job classification.

Security Clearance:

Sandia is required by DOE to conduct a pre-employment drug test and background review that includes checks of personal references, credit, law enforcement records, and employment/education verifications. Applicants for employment need to be able to obtain and maintain a DOE Q-level security clearance, which requires U.S. citizenship. If you hold more than one citizenship (i.e., of the U.S. and another country), your ability to obtain a security clearance may be impacted.

Applicants offered employment with Sandia are subject to a federal background investigation to meet the requirements for access to classified information or matter if the duties of the position require a DOE security clearance. Substance abuse or illegal drug use, falsification of information, criminal activity, serious misconduct or other indicators of untrustworthiness can cause a clearance to be denied or terminated by DOE, resulting in the inability to perform the duties assigned and subsequent termination of employment.

EEO Statement:

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status and any other protected class under state or federal law.",3.8,"Sandia National Laboratories
3.8","Livermore, CA","Albuquerque, NM",10000+ employees,1949,Government,Federal Agencies,Government,$2 to $5 billion (USD),"Los Alamos National Laboratory, Lawrence Livermore National Laboratory"
T&D Line Engineer,-1,"Since 2006, Ampirical has provided comprehensive customer support, from project conception to design engineering, project management, and construction in electrical transmission and distribution. With over 70 years' experience combined in this industry alone, Ampirical's founders have a long history of fulfilling their mission in Engineering Power-ful Solutions.

SUMMARY
The Overhead Transmission & Distribution Line Engineer is responsible for the design of the electric transmission, sub-transmission, and distribution lines. This role will be responsible for the mentoring of junior Design Engineers and regular ongoing interface with the client at their offices, and occasionally in the field at walk-downs and site visits.

ESSENTIAL DUTIES and RESPONSIBILITIES
Direct and oversee work of junior Design Engineers:
Conceptual routes, layouts, preliminary and detailed designs and specifications for high voltage transmission lines and/or distribution lines
Plan and profile sheets, staking sheets, bills of materials, and stringing charts
Design criteria
Pole loading drawings, framing drawings, and construction drawings
Terrain models
Structure loading calculations
As-built revisions
Provide construction support
Review and provide quality assurance for project engineering deliverables developed internally or by third parties
Attend project site visits/walk downs
Interface regularly with the client at their offices or in the field
Support client's project engineers as directed
QUALIFICATIONS

REQUIRED
Bachelor's Degree in Engineering from an accredited engineering school. Civil Engineering Degree strongly preferred.
Civil or Electrical PE License (or ability to obtain within 1 year)
3+ years transmission and/or distribution line design experience.
Proficient in PLS-CADD and PLS-POLE.
Ability to prioritize work, manage tasks for multiple projects under budget, and time constraints.
High level of personal initiative and the ability to interact with personnel, clients, and contractors.
Strong problem solving and analytical skills and must be proficient on the computer.
PREFERRED
Experience with PLS-TOWER.
Familiar with CPUC GO-95 & 131-D
WORK ENVIRONMENT
The Overhead Transmission Line Engineer will report to more senior personnel for each project, will interface with other members of the department, and have a frequent interface with the client at their office. Travel out of town for short periods may be required by project and assignments.

Interested in Engineering Power-ful Solutions? Take a look at the link below to see why working at Ampirical is much more than a job...https://youtu.be/ilneslhRWWY",4.4,"Ampirical
4.4","Sacramento, CA","Mandeville, LA",51 to 200 employees,2006,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),"Dashiell, Burns & McDonnell, Black & Veatch"
Automation Sales Engineer,-1,"About WEG Electric Corp.

WEG is the largest industrial electric motor manufacturer in the Americas and one of the largest manufacturers of electric motors in the world producing more than 21 million units annually. Founded in 1961, WEG operates mainly in the sector of capital goods, having five main businesses: Motors, Energy, Automation, Coatings Transmission & Distribution, providing global solutions for electric motors, variable frequency drives, soft starters, controls, panels, transformers, and generators. The US corporate office is located in Duluth, GA with manufacturing units in Minnesota, Indiana and Missouri with over 30 thousand employees worldwide. Visit our website to learn more: www.weg.net

About the Role

Leads the sales and business development efforts in the assigned territory for WEGs Automation Suite of products including LV Drives, LV Controls, LV enclosed Product, and MV Drives and Softstarts. Develops and implements, with Management support, a business plan to increase WEGs sales and market share. Promote and support WEG Automation products, solutions, and service sales by calling on customers within their defined territory. Train and motivates internal and external sales teams to ensure that the sales goals are met or exceeded. Lead cross functional teams with segmented sales strategy to include distribution, system integration, service partners, contractors, OEMs and internal sales channels in both geographical and vertical segments. Provide input for products and enhancements to existing products based on customer needs. Bachelors degree from a four-year college or university; and over 10 years of related experience or training; or an equivalent combination of education and experience.

Sates Covered: Subset of - Maine, Vermont, New Hampshire, Massachusetts, Connecticut, New York, New Jersey, Eastern Pennsylvania, Maryland, Deleware, Rhode Island

Primary Responsibilities

Meets orders sales objectives set by WEC Management.
Defines and manages the need for, and management of 3rd party reps in designated geographical, market, and product segments.
Consistently and effectively identify new business opportunities, with the ability to pursue and close complex sales deals of significant scope and long-term potential.
Build relationships with decision-makers and understand the dynamics of the procurement process.
Know product features and applications in order to be well-positioned as a business partner and value- added resource.
Leads pipeline management efforts with other WEG sales teams, 3rd party reps, and distributors.
Collaborate with parallel sales structures, to create teamwork focused on winning new business and maintaining current business.
Develops plans and strategies for business development and achieving the territory sales goals.
Gathers knowledge of assigned market/territory, applications, terminology, trends, and issues.
Develops and delivers product training for the WEC sales force. 3rd party reps, and customer segments.
Travels to customer locations on a regular basis.
Occasionally attends trade, and industry organization shows.
Provides periodic/timely updates to management on progress toward execution of account plans.
Collaborate with inside corporate personnel to quotes prices, credit terms, and delivery estimates.
Requires up to 50% travel.

We offer a pleasant work environment, competitive compensation and full benefits package.

To Apply: All candidates must submit an updated resume and complete our application in order to be considered for this position.

We are proud to be an Equal Opportunity/Affirmative Action employer. Qualified applicants will receive consideration for employment without regard to race, sex, disability, veteran, or other protected status.

Candidates for positions with WEG Electric must be legally authorized to work in the United States on a permanent basis. Visa sponsorship is not available for this position.

rcial and technical aspects of quotations.",3.2,"WEG Electric Corp
3.2",Remote,"Duluth, GA",1001 to 5000 employees,1991,Subsidiary or Business Segment,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"ABB, Siemens, Electric Research and Manufacturing Cooperative"
"Systems Engineer, Senior",-1,"DASAN Zhone Solutions, Inc. - (NASDAQ: DZSI) is a global provider of ultra-broadband network access solutions and communications platforms deployed by advanced Tier 1, 2 and 3 service providers and enterprise customers.Our solutions are deployed by over 900 customers in more than 80 countries worldwide. Our ultra-broadband solutions are focused on creating significant value for our customers by delivering innovative solutions that empower global communication advancement by shaping the internet connection experience.Every connection matters, and the first connection to the internet and cloud services applications matters the most. Our principal focus is centered around enabling our customers to connect everything and everyone to the internet-cloud economy via ultra-broadband connectivity solutions.

We research, develop, test, sell, manufacture and support platforms in five major areas: broadband access, mobile backhaul, Ethernet switching with Software Defined Networking (“SDN”) capabilities, new enterprise solutions based on Passive Optical LAN (“POL”), and new generation of SDN/ Network Function Virtualization (“NFV”) solutions for unified wired and wireless networks. We have extensive regional development and support centers around the world to support our customer needs.

Dasan Zhone Solutions, Inc. (DZS) is actively seeking a Senior Systems Engineer for the US region. The candidate will be fully involved in all pre-sales activities within the US. Candidate will be working alongside the Regional Sales Director(s) and report to the SE Director.

Job Summary, Key Responsibilities and Qualifications

Responsibilities:
Act as a Subject Matter Expert (SME) on Wireless Design and Engineering and various Wireless Construction services
Pre and Post Sales technical support of DASAN Zhone’s network deployments.
Perform technical sales-oriented presentations to customer's technical staff and senior management.
Assist in the preparation of responses to RFPs including the BOM and quotes
Provide expertise on technical issues or specific network architectures and applications
Help customers design and architect their network solutions
Creating customer specific quotes based on customer’s network needs
Assist customers in configuring and testing products in lab and field trials
Conduct technical customer training sessions
Capture, articulate, and prioritize customer requirements
Working towards quarterly targets
Experience/Skills/Knowledge of:
BSEE/BSCS desired.
Experience of Wireless technologies such as Fixed Wireless, Mobile Backhaul/Fronthaul
Experience in Networking and network protocols (Ipv4, Ipv6, Ethernet switching, MPLS etc)
Current Cisco Certified Internetwork Expert (CCIE) desired
70%travel within US
5+ years’ experience in telecommunicationsExcellent Presentation and communication skills are required",3.0,"Dasan Zhone Solutions
3.0",United States,"Oakland, CA",501 to 1000 employees,2016,Company - Public,Telecommunications Manufacturing,Telecommunications,Unknown / Non-Applicable,-1
Engineer Electrical - Product Development,$87K-$102K (Glassdoor est.),"smart people.

smart ideas.

smart choice.

A thriving environment for learning, innovation and growth.

Why do so many people join MTS Systems Corporation and stay for a career? Because this is a place where you get to apply your creativity, work with smart people on fascinating projects, and make a positive impact on people’s lives. It is a place where you can learn, innovate and grow professionally.

Transforming what’s possible with cars, aircraft, bridges, wind turbines and space-age materials — this is work we dream about as kids. At MTS, it’s a rewarding career path for talented individuals who are willing to work hard, think hard, and commit to solving complex and critical challenges for our customers around the world, many of whom are leaders in their respective industries.

By joining MTS, you’ll have access to the latest tools and technologies, along with the support of colleagues who are passionate about their work. You’ll discover a dynamic culture of continuous improvement that extends to our people, one that offers numerous ways to expand your knowledge and advance your career. And because we are a global company, your work may also include world travel.

Our business is thriving. Our future is exciting. Your potential is unlimited.

https://www.youtube.com/channel/UCBZqUHA2vnZmsIwwavVGN3A

Primary Objective:
The Electrical Engineer – Product Development role is a member of the Electrical Development team at MTS Test & Simulation. Engineers in this team are responsible for developing and supporting a wide range of electrical products focused on high performance motion controller and precision data acquisition. Our controllers enable MTS Test & Simulation systems to achieve world class precision force and motion control, providing our customers with unmatched performance, safety, and reliability for their most challenging mechanical testing needs.

Major Areas of Accountability/Responsibilities Include a Subset of the following (other duties may be assigned):
Embedded hardware engineering support in concept development, design, implementation, and product support of realtime control and data acquisition platform products
Module and circuit design and prototyping
Schematic capture & PCB design (Altium)
Low noise, high precision, mixed signal circuit design (data conversion, amplification, digital processing)
Embedded firmware and microprocessor programming
Digital signal processing, including MATLAB DSP Builder
Field Programmable Gate Arrays (FPGA filtering/downsampling, Intel Quartus, Verilog, and SystemVerilog)
Digital Communication and third-party interfaces, including EtherCAT
Support role in overall system architecture design. Lead role in subsystem design
General Responsibilities Include:
Provide technical support for internal and external customers
Provide technical support for Contract Manufacturing partners in production related issues
Electronic component vendor interface
Provide and maintain engineering documentation
Participate in continuous improvement initiatives
Qualifications:
Degree in Electrical Engineering or related field (Master’s preferred) from an ABET accredited institution
5+ years electrical engineering experience, capable of performing 5 or more items from the key responsibility list
Demonstrated technical expertise and domain experience in motion control and embedded systems
Ability to work independently and effectively with others
Able to effectively deal with ambiguity and make good decisions with incomplete data
Responsive and willing to take ownership of issues and drive solutions
Self-starter, energizing, results oriented, and decisive
Creative problem solver and solution developer when presented with conflicting requirements, business demands and technical risks/issues
Occasional travel 10% both domestic and international, not more than 10%
Working knowledge of product development methodologies and stage-gate development processes
Additional Qualifications:

Experience with Team Foundation Server, Visual Studio, MATLAB, TI Code Composer, OrCAD, HDL

MTS Systems Corporation is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, ethnicity, religion, creed, gender, gender identification, sexual orientation, national origin, physical or mental disability, age, marital status or veteran status.

Posting Notes: Engineering (Mechanical/Electrical) |Software Development | |",2.6,"MTS Systems
2.6","Eden Prairie, MN","Eden Prairie, MN",1001 to 5000 employees,1966,Company - Public,Industrial Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
Java Distributed Systems Engineer (US),-1,"Java, Distributed Systems Engineer

We are seeking a conscientious Java developer who can develop outstanding software for our core products of high-performance, highly scaleable storage systems.

You will have the opportunity to work with the hottest technologies with the latest techniques in building the best cloud storage product out there. Cloudians' work environment is for those who want to make an immediate, substantial, and visible contribution to critical software used by customers daily. At Cloudian, you will have the opportunity to not only determine how to do things better, but actually implement them.

Your tasks will include:
Design. Create efficient, complete, and thoughtful designs for tasks, both small and big. An example might be a scalable, distributed authentication system.
Test. We promote a test-driven methodology where tests are designed and written before code. Automated tests are then permanently added to the regression suite.
Code. Platform is Java using standard tools like git and eclipse. Code review is required both as reviewer and reviewee.
Support. Work with colleagues to help sell, market, test, and support the product. This may require being available 24/7 for any P1 issues.
Qualifications:
Minimum of 3 years of writing production distributed, server-side Java code.
Ability to do the above tasks quickly and completely.
Prepared to show how you can do the above tasks. This may include demonstrable skills with Java, Python, test/QA focus, and high-performance, highly scalable systems. And the ability and willingness to learn any gaps.
Experience with systems like Cassandra, Redis, Amazon Web Services is valuable.
Note: No recruiters. Principals only. We will not compensate for any resumes or other leads from third-parties.",4.8,"Cloudian
4.8",United States,"San Mateo, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Electrical Controls Systems Engineer,$85K-$104K (Glassdoor est.),"Company Overview


Dematic is an intralogistics innovator that designs, builds and supports intelligent, automated solutions for manufacturing, warehouse and distribution environments for customers that are powering the future of commerce. With engineering centers, manufacturing facilities and service centers located in more than 25 countries, Dematic’s global network of 8,000 employees have helped achieve more than 6,000 worldwide customer installations for some of the world’s leading brands. Headquartered in Atlanta, Dematic is a member of KION Group, a global leader in industrial trucks, supply chain solutions and related services, and a leading provider of warehouse automation.

The Role


Why Join Us?

Have you ever ordered something online to get your package next day? Think about the advanced automated technologies that go into it. Do you want to become a part of this world class organization and work with highly complex automated solutions? Dematic is currently hiring an Controls Systems Engineer in our Global Project Engineering group. If you have a passion for high engineering and want to see your solutions come alive, then join us today!

Job Description

Dematic has an immediate need for an Controls Systems Engineer in our Global Project Engineering group at our Western Operations (Orange, CA) office. The preferred candidate will have 2-5 years related experience, including planning, specification, implementation and commissioning of engineering design projects. Up to 40% travel to our customer sites.

Job Family Responsibilities:Participates in the design of semi-complex systems that integrate hardware and software. Provides support in semi-complex material specification, schematic preparation and appropriate follow-up. Participates in recommending ideas related to productivity improvement, cost reduction and improvement in customer satisfaction. Key Responsibilities:Performs important areas of standard professional level work that typically requires processing and interpreting, more complex, less clearly-defined issues. Refers semi-complex, unusual problems to others. Identifies and resolves readily identifiable, clearly-defined problems.

What We Are Looking For


Education:Typically BS/BA in related discipline or advanced degree. Certification may be required in some areas. Knowledge and Experience:Demonstrates a good grasp of knowledge and principles of field of specialization and applies through successful completion of assignments. Successfully applies knowledge of fundamental concepts, practices, and procedures of particular area of specialization. Typically 2-5 years of successful experience in related field and successful demonstration of Key Responsibilities and Knowledge as presented above. Advanced degree MAY be substituted for experience, where applicable Direction of Others:May provide general guidance or train lower level support staff. Key Working Relationships:Primarily intra-organizational contacts and some external contacts.",3.8,"Dematic
3.8","Orange, CA","Atlanta, GA",5001 to 10000 employees,1819,Subsidiary or Business Segment,Electrical & Electronic Manufacturing,Manufacturing,Unknown / Non-Applicable,"Intelligrated, Daifuku, Viastore Systems"
